innings,over,ball,start_time,end_time,bowler,batsman,runs,comment
1,11,5,3971.04,3987.28,Muralitharan,Uthappa,3,"byes, the ball turns into the leg and middle line and rolls away to fine-leg region"
,,,,,,,,
1,11,6,4014.36,4025.84,Muralitharan,Kohli,4,another off break on the middle and leg line and Kohli plays a delightful glance shot .. working his wrists over time and the ball races away to fine-leg boundary
,,,,,,,,
1,12,1,4110.92,4120.52,Ashwin,Uthappa,4,"Whack! Quickish and short of length, Robin rocked back to pull it hard to the wide midwicket boundary"
,,,,,,,,
1,12,2,4140.28,4148.48,Ashwin,Uthappa,0,"much fuller, swung straight to Raina at short midwicket"
,,,,,,,,
1,12,3,4155.4,4165.16,Ashwin,Uthappa,1,walks down the track and plays a paddle sweep from outside off stump! What is going off out there as Fred Trueman would have said!
,,,,,,,,
1,12,4,4183.16,4195.28,Ashwin,Kohli,1,"low full toss, swatted away to long-on"
,,,,,,,,
1,12,5,4205.96,4217.04,Ashwin,Uthappa,1,"hurls it really full, in search of the yorker, pushed past the non-striker"
,,,,,,,,
1,12,6,4224.04,4236.24,Ashwin,Kohli,1,"full and straight again, worked to right of Raina at midwicket"
,,,,,,,,
1,13,1,4308,4320.6,Balaji,Kohli,1,"length delivery on off and middle line, pushed to left of straightish midwicket for a quick single"
,,,,,,,,
1,13,2,4347.92,4356.64,Balaji,Uthappa,0,"full in length and outside off, around 127 kmph, hit hard but straight to cover"
,,,,,,,,
1,13,3,4377.88,4387.8,Balaji,Uthappa,1,walks down the track and forces the short-of-length delivery to long-on
,,,,,,,,
1,13,4,4413.72,4423.28,Balaji,Kohli,1,"short in length, cuts in to the middle stump line, Kohli mistimes the pull shot and the ball rolls towards deep midwicket"
,,,,,,,,
1,13,5,4442.96,4451.92,Balaji,Uthappa,0,"Big swing and a miss! Full and outside off stump, Robin wanted to thrash it over the bowler but no wood on leather"
,,,,,,,,
1,13,6,4478.52,4491.36,Balaji,Uthappa,2,Top edged! Robin goes for the big pull and top edges it over the keeper. Murali runs across from third man and the ball threatens to spin away at the last minute but he stopped and lunged to his right to push it back to the field of play
,,,,,,,,
1,14,1,4536.64,4549,Ashwin,Kohli,1,"low dipping full toss, hit straight to long-on"
,,,,,,,,
1,14,2,4565.16,4575.88,Ashwin,Uthappa,1,"really full, Robin wants to go for the big hit but is unable to get under the ball and gets a single as it rolls to long-on"
,,,,,,,,
1,14,3,4584.24,4592,Ashwin,Kohli,1,goes down on his knee to drive hard but again straight to long-on
,,,,,,,,
1,14,4,4607.08,4613.88,Ashwin,Uthappa,0,"full, very full, Robin is unable to get under the ball again.. pushed back to the bowler"
,,,,,,,,
1,14,5,4622.16,4632.03999,Ashwin,Uthappa,1,"bye, tries the reverse paddle this time and the ball rolls away to short cover region off the pad"
,,,,,,,,
1,14,6,4648.32001,4655.88,Ashwin,Kohli,1,"moves outside leg and lifts it to long-off. Just a single. Fine tight over from Ash who has been bowling it really full, just short of the blockhole"
,,,,,,,,
